name,url,cr,type,size,ac,hp,align,legendary,source,release_date,str,dex,con,int,wis,cha,fly_speed,swim_speed,type_grouped,align_grouped,source_grouped
aarakocra,https://www.aidedd.org/dnd/monstres.php?vo=aarakocra,0.25,humanoid (aarakocra),Medium,12,13,neutral good,0,Monster Manual (BR),03/07/2014,10.0,14.0,10.0,11.0,12.0,11.0,1,0,humanoid,Good,Monster Manual (BR)
abjurer,,9.0,humanoid (any race),Medium,12,84,any alignment,0,Volo's Guide to Monsters,15/11/2016,9.0,14.0,14.0,18.0,12.0,11.0,0,0,humanoid,Neutral,Volo's Guide to Monsters
aboleth,https://www.aidedd.org/dnd/monstres.php?vo=aboleth,10.0,aberration,Large,17,135,lawful evil,1,Monster Manual (SRD),12/01/2016,21.0,9.0,15.0,18.0,15.0,18.0,0,1,aberration,Evil,Monster Manual (SRD)
abominable-yeti,,9.0,monstrosity,Huge,15,137,chaotic evil,0,Monster Manual,30/09/2014,24.0,10.0,22.0,9.0,13.0,9.0,0,0,monstrosity,Evil,Monster Manual
acererak,,23.0,undead,Medium,21,285,neutral evil,0,Adventures (Tomb of Annihilation),19/09/2017,13.0,16.0,20.0,27.0,21.0,20.0,0,0,undead,Evil,Adventures
acolyte,https://www.aidedd.org/dnd/monstres.php?vo=acolyte,0.25,humanoid (any race),Medium,10,9,any alignment,0,Monster Manual (SRD),12/01/2016,10.0,10.0,10.0,10.0,14.0,11.0,0,0,humanoid,Neutral,Monster Manual (SRD)
adult-black-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-black-dragon,14.0,dragon,Huge,19,195,chaotic evil,1,Monster Manual (SRD),12/01/2016,23.0,14.0,21.0,14.0,13.0,17.0,1,1,dragon,Evil,Monster Manual (SRD)
adult-blue-dracolich,,17.0,undead,Huge,19,225,lawful evil,1,Monster Manual,30/09/2014,25.0,10.0,23.0,16.0,15.0,19.0,1,0,undead,Evil,Monster Manual
adult-blue-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-blue-dragon,16.0,dragon,Huge,19,225,lawful evil,1,Monster Manual (SRD),12/01/2016,25.0,10.0,23.0,16.0,15.0,19.0,1,0,dragon,Evil,Monster Manual (SRD)
adult-brass-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-brass-dragon,13.0,dragon,Huge,18,172,chaotic good,1,Monster Manual (SRD),12/01/2016,23.0,10.0,21.0,14.0,13.0,17.0,1,0,dragon,Good,Monster Manual (SRD)
adult-bronze-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-bronze-dragon,15.0,dragon,Huge,19,212,lawful good,1,Monster Manual (SRD),12/01/2016,25.0,10.0,23.0,16.0,15.0,19.0,1,1,dragon,Good,Monster Manual (SRD)
adult-copper-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-copper-dragon,14.0,dragon,Huge,18,184,chaotic good,1,Monster Manual (SRD),12/01/2016,23.0,12.0,21.0,18.0,15.0,17.0,1,0,dragon,Good,Monster Manual (SRD)
adult-gold-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-gold-dragon,17.0,dragon,Huge,19,256,lawful good,1,Monster Manual (SRD),12/01/2016,27.0,14.0,25.0,16.0,15.0,24.0,1,1,dragon,Good,Monster Manual (SRD)
adult-green-dragon,https://www.aidedd.org/dnd/monstres.php?vo=adult-green-dragon,15.0,dragon,Huge,19,207,lawful evil,1,Monster Manual (SRD),12/01/2016,23.0,12.0,21.0,18.0,15.0,17.0,1,1,dragon,Evil,Monster Manual (SRD)
adult-kruthik,,2.0,monstrosity,Medium,18,39,unaligned,0,Mordenkainen's Tome of Foes,29/05/2018,15.0,16.0,15.0,7.0,12.0,8.0,0,0,monstrosity,Unaligned,Mordenkainen's Tome of Foes
adult-oblex,,5.0,ooze,Medium,14,75,lawful evil,0,Mordenkainen's Tome of Foes,29/05/2018,8.0,19.0,16.0,19.0,12.0,15.0,0,0,ooze,Evil,Mordenkainen's Tome of Foes
